"row_id","ID_TGAS_source","RA_TGAS","DE_TGAS","pmRA_TGAS","pmDE_TGAS","parallax_TGAS","phot_g_mean_mag_TGAS","HRV"
34,4352065965622574336,246.394854443712,-6.708688522358681,-25.522945518601865,-9.618367693218815,3.9107077036067635,10.616783125171525,-16.853
35,4350938382088859904,247.90474485232957,-7.918996391956119,6.531420110572963,3.941192468410682,4.379130333145023,10.979852373957385,4.841
36,6291617499360638208,204.8210805839209,-21.46418135643122,-54.97972903963932,-5.838136308275772,4.089463138146165,10.864728054196682,-31.296
37,6291951304218583296,205.3220059841173,-20.693607077500065,-30.230202820359594,-7.061775847947917,3.719339405922602,10.93242192310523,-10.155
38,6292787207934255104,203.96685105602646,-19.716242389302014,-17.266982088657322,-39.89377809299763,4.669688293739068,9.804471439635389,-12.509
39,6292399149048627328,205.84244471680776,-19.67052517107676,46.400150460089996,-85.64629815126617,8.956501313983582,10.31976609976007,-10.044
40,6287935647236711168,209.130329315829,-21.90203750507908,-20.375401173897117,-49.89232688816348,8.101882328756371,9.876053436881895,29.308
41,6287948016742529280,208.44275559026283,-22.081014181815412,2.8890248672079784,-25.514605192444204,4.013388258407228,10.598729275017778,-327.034
42,6287497594931943168,208.54856572250088,-22.641880825177928,-50.0380691681675,-26.1131125906882,4.383497628288064,9.71624302826799,18.721
43,6638445007684503424,289.23951021502745,-59.04537582133575,0.8959721972253987,-9.551937711559246,3.681486484086235,10.345882256508574,1.747
44,6638561212319743360,290.7616769129256,-58.70043770559364,7.58298387807613,-65.44510217188034,3.8780004796991783,10.033958900022526,-48.082
45,6441959084346347392,296.2419750789992,-62.17529119744335,0.3980040246308896,-30.916090048539793,4.2450886945092146,10.73297877661198,19.025
46,6305672522139299840,226.7376602314237,-17.326592282968814,-101.06984254824997,-59.8991402170445,12.59569314347269,10.094800775680646,-6.781
47,6305837345803355776,226.52556757453428,-16.926203396373108,-26.493054175242904,-3.6927121737292095,3.4675256889233674,9.620845866608141,-25.006
48,6259238221953408896,228.34063960034493,-17.10857862674605,-68.97440733896332,-70.0415893478912,9.101046162511356,10.453378081518476,-11.106
49,6308599147214494592,227.37718643012792,-14.617553456686583,-20.758556607013816,-11.549497559074377,7.8934787751724045,9.714465681074154,-10.683
50,6258945889298027904,229.58984814685547,-17.38970850488998,-82.53189763228781,-42.47350211314516,5.487122929722634,10.065082086433048,4.344
51,6258048344212375040,229.98059093001677,-18.486862774753085,-124.0911812136972,28.599632106452017,5.763210594682616,9.927566447987397,-34.014
52,6257843697611179648,230.20009326429593,-18.79654095281218,6.549699729624914,-55.584167183662125,3.9335169922649866,10.328852178964574,64.051
53,6284315264683313152,216.15526624086272,-18.57467260263088,-3.6206094601115537,-22.66217251670222,5.386023653499896,10.01292644813642,19.959
54,6298833903411587840,216.29581627630162,-14.845786285007492,19.065791058820697,-6.500034894123289,6.138398370773847,10.081779313005102,22.362
55,6285252220389696768,219.64276217083443,-17.55242504304608,-29.860732655750645,-6.750047406995872,3.93697698663099,10.763180056099033,-28.971
56,6283302373956417536,218.3346015876174,-19.58132983821528,-39.89409014119269,-19.082619410426805,4.8639354835378485,10.330512362807694,-7.066
57,6640651693161710464,294.1530069739828,-56.61290185934617,93.35301569313377,68.0219551381997,10.098604668831946,10.254926321520097,-6.626
58,6640421104959466240,291.75030855387683,-55.62987480796363,14.959497717434232,-16.08321205571801,3.592361247667157,10.683053068575605,-19.322
59,6645200166607985664,293.3036002888962,-52.93362790131293,-18.556891199831234,-141.56314510360798,11.484892946442393,9.5863757594169,-18.984
60,6641363970538743040,298.4759092736143,-54.13983125608849,-10.4503993113345,-5.312763818788438,4.5009075833305205,9.587721681493296,47.165
61,6641215914427351680,297.17831441288234,-55.01026952262812,27.128705374440806,-31.207833575270794,4.661225515153219,10.445281521395218,31.084
62,6641158430583210752,298.28451153016624,-55.31443891921508,28.18312187424639,-63.177361701003605,4.918368311101454,10.727004894501086,30.617
63,6641193889835065088,297.40915221637385,-55.30305102717818,-9.988922137588993,28.716797247414647,6.927021869957509,10.28848967896697,24.224
64,6640747659910997120,297.04117336915675,-55.86558651654051,-8.246255680095643,-16.576485145597577,6.361546045595949,10.963279377151077,40.112
65,6642012407523209984,294.1945343977933,-54.35209388631546,6.815604488276444,-19.854068650143248,3.8714148726855866,10.426587762148689,25.65
66,3756010954039501824,163.28344998310322,-14.30338453627317,-38.19890247540533,-4.266680128150293,4.692599454950387,9.337808994463362,-10.992
67,3563669433622913024,165.48947426153134,-14.485780801417507,0.2817336600717968,-17.071477643174923,4.064976785355294,9.361467514779601,7.589
68,4354150296071447296,248.35309189319076,-5.093402633743224,17.521173989766044,-17.288419631279442,3.354107260595992,9.78376553407723,13.371
69,4354275571679503616,248.2360970556138,-4.266490192370959,-32.0998993977594,21.277297410948727,8.479020013015365,10.166332615714968,-35.484
70,4357543904350846336,246.83652695226868,-3.7463314177266294,-4.407314510539696,-15.319612073964484,3.7168998047286936,10.855291310411438,21.555
71,4359249590484691840,247.42588308111428,-1.2137991416676255,30.584846423809275,-12.366727756482831,4.17995991995055,10.19938846404595,-26.064
72,4358333559858028672,249.03340929093767,-1.5679354765708875,-45.599345090672976,-15.30684418581815,6.119786598278483,10.2304858097114,-26.183
73,4378954900438321536,251.44192462343148,-2.429765454140212,-2.1740050606609156,4.336633106726119,3.8661403556062997,10.429871709701086,11.139
74,4354633806311214208,250.58012949758702,-3.756257354829048,16.88116661016082,-13.918413413857452,4.205049026859622,10.080979050087802,3.606
75,4354724069342603264,249.43683620040338,-3.8154624946070577,-8.961012396862282,-23.776937975018285,4.911997998930197,10.459290572787161,-6.826
76,4354015331019554560,249.4297900126803,-5.113889129266745,-8.959303572596268,-4.020465374397087,4.107903937265045,10.128794756866066,-52.56
77,6271740321995180160,216.86761389747056,-25.291027846452693,12.74611672523668,-29.330176161403237,4.0240567882417775,10.410485091924835,37.929
78,6271807632722364672,216.69982385399237,-24.826846970486432,-19.26102556470233,-7.9751601920368,3.6491321706085698,10.879506600049005,18.228
79,6280116916971727104,218.35132135984014,-20.44764544471314,-35.645129379053046,-4.223724191370836,3.423668640271122,10.11306619649439,-54.565
80,6262587334370283776,238.8915869379313,-15.70319226114459,-10.15340625268437,-15.926026998689347,3.8166293451350413,10.372677462213336,10.076
81,6262774010829518720,238.53362841624858,-14.980628209514654,188.92960726683407,-145.97222452721815,18.103491654514116,10.237198926328121,21.894
82,6267574478597056000,238.2548129016101,-11.833878524617214,-23.64836180766529,-8.545121734039178,4.206098400477094,9.645803599520502,-16.355
83,6365442317822216960,286.705814494527,-77.16448409189185,12.488564088538874,-6.2935308808940675,3.7661956720128345,10.613152895235045,0.705
